accountlength,areacode,churn,customerservicecalls,numbervmailmessages,totaldaycalls,totaldayminutes,totalevecalls,totaleveminutes,totalintlcalls,totalintlminutes,totalnightcalls,totalnightminutes
80,415,False,0,0,110.0,105.8,88.0,43.9,5.0,13.1,87.0,189.6
134,415,False,1,0,110.0,178.0,64.0,153.8,4.0,11.7,105.0,236.6
77,510,False,1,24,74.0,149.4,72.0,123.9,6.0,10.1,84.0,174.3
147,510,False,2,0,104.0,209.4,78.0,132.5,3.0,11.3,123.0,149.4
74,415,False,1,0,105.0,172.1,99.0,211.7,6.0,11.6,105.0,182.2
138,510,False,1,0,82.0,169.3,147.0,217.9,9.0,9.4,77.0,184.2
143,415,False,0,0,117.0,119.1,136.0,287.7,4.0,12.2,100.0,223.0
64,415,False,2,0,147.0,194.2,87.0,173.4,2.0,5.5,114.0,268.7
120,510,False,2,0,56.0,198.8,73.0,230.1,3.0,9.9,81.0,119.8
121,408,True,3,0,94.0,167.7,121.0,93.7,1.0,13.4,115.0,241.3
88,415,False,2,0,86.0,202.2,93.0,216.8,2.0,11.8,99.0,239.4
87,408,True,2,0,106.0,322.5,93.0,204.6,4.0,9.4,128.0,186.2
100,510,False,0,0,107.0,216.2,84.0,215.6,3.0,10.2,127.0,138.4
104,415,False,3,0,116.0,76.4,74.0,115.6,3.0,9.4,94.0,226.3
27,510,False,1,0,75.0,72.7,117.0,208.6,3.0,9.9,71.0,65.8
81,415,False,0,31,100.0,210.4,97.0,225.5,4.0,9.7,120.0,168.7
64,510,False,0,33,93.0,127.2,104.0,162.9,13.0,8.1,109.0,247.4
107,510,False,1,28,79.0,201.8,128.0,304.9,8.0,11.9,133.0,225.6
88,415,False,1,17,78.0,219.5,94.0,222.1,5.0,16.1,92.0,188.3
111,408,False,3,0,112.0,99.3,136.0,270.5,6.0,9.0,94.0,225.3
77,415,False,5,0,114.0,239.2,115.0,150.0,2.0,10.3,81.0,160.8
67,415,False,2,0,58.0,120.9,88.0,235.0,11.0,11.4,130.0,95.1
102,408,False,1,0,81.0,224.7,112.0,129.4,6.0,15.8,109.0,167.6
146,408,False,1,19,88.0,176.6,66.0,162.7,6.0,14.6,98.0,215.5
144,415,False,1,51,98.0,283.9,109.0,192.0,4.0,10.0,85.0,196.3
96,415,True,1,0,92.0,180.6,114.0,190.9,4.0,10.3,125.0,295.6
70,415,False,1,31,101.0,125.9,102.0,196.4,4.0,10.3,75.0,252.7
149,408,False,0,0,79.0,237.6,107.0,192.4,9.0,9.1,111.0,207.4
129,415,False,2,0,91.0,198.4,106.0,264.7,2.0,9.2,101.0,111.4
166,408,False,0,0,110.0,274.3,109.0,52.9,5.0,10.9,119.0,246.1
136,408,True,3,0,89.0,199.6,96.0,211.4,4.0,11.0,84.0,72.4
149,510,False,3,0,91.0,217.7,74.0,273.5,3.0,9.6,99.0,226.9
70,415,False,3,0,96.0,134.7,90.0,235.9,6.0,7.6,113.0,260.2
120,415,False,2,24,73.0,212.7,103.0,257.5,13.0,9.7,119.0,227.8
66,510,False,2,0,135.0,256.3,106.0,180.2,7.0,6.2,135.0,187.3
104,408,False,1,0,133.0,183.6,98.0,120.7,2.0,12.7,112.0,215.1
160,415,False,1,0,90.0,176.2,115.0,196.0,4.0,9.2,95.0,263.9
129,415,False,1,37,94.0,205.0,103.0,165.4,8.0,11.7,81.0,185.0
93,408,True,3,0,114.0,267.9,74.0,223.0,3.0,11.3,90.0,262.7
169,415,False,2,0,111.0,179.2,130.0,175.2,6.0,9.9,92.0,228.6
58,415,False,1,0,145.0,149.4,105.0,196.5,3.0,14.9,108.0,209.5
75,510,False,3,38,132.0,163.6,113.0,146.7,3.0,13.1,115.0,345.8
45,408,False,1,0,71.0,207.6,94.0,152.7,13.0,12.4,125.0,217.8
155,510,False,3,0,108.0,165.4,103.0,183.7,4.0,8.9,108.0,80.2
52,415,False,4,0,114.0,209.8,82.0,171.3,9.0,9.9,119.0,154.6
119,415,False,0,27,128.0,220.1,133.0,268.2,3.0,11.1,80.0,146.5
86,510,False,1,0,72.0,141.3,95.0,154.3,5.0,8.2,91.0,210.6
42,408,False,0,0,89.0,196.5,123.0,241.3,7.0,4.0,105.0,143.2
127,510,False,2,0,114.0,180.9,118.0,209.5,4.0,7.4,105.0,249.9
123,408,False,0,0,150.0,105.0,90.0,251.6,5.0,14.9,93.0,258.0
98,510,True,4,0,119.0,271.4,102.0,190.4,6.0,11.1,118.0,284.7
149,510,False,1,43,79.0,206.7,122.0,174.6,3.0,10.9,80.0,241.5
160,408,False,1,0,109.0,166.8,117.0,236.0,1.0,9.3,77.0,307.6
103,415,False,5,0,107.0,204.9,102.0,135.2,3.0,10.4,106.0,208.2
132,415,False,1,15,128.0,154.6,106.0,245.6,4.0,9.1,90.0,148.6
137,415,False,1,0,107.0,127.0,75.0,323.2,2.0,7.5,127.0,143.9
129,415,False,1,0,78.0,267.4,85.0,204.2,4.0,5.9,146.0,111.7
62,415,False,1,0,66.0,281.0,108.0,160.6,0.0,0.0,74.0,77.9
122,510,False,4,33,96.0,270.8,110.0,220.4,8.0,11.8,104.0,169.9
32,408,False,1,0,82.0,171.2,102.0,185.6,7.0,10.2,64.0,203.3
86,510,False,3,0,82.0,124.1,120.0,202.6,8.0,6.7,119.0,289.6
130,415,False,1,0,113.0,162.8,111.0,290.3,3.0,7.2,140.0,114.9
42,408,False,1,0,84.0,146.3,113.0,255.9,12.0,8.0,117.0,45.0
73,415,False,2,0,85.0,254.8,80.0,143.4,7.0,15.0,102.0,153.9
66,408,False,2,26,108.0,254.9,135.0,243.2,3.0,5.4,95.0,190.8
103,510,False,0,31,124.0,107.7,104.0,188.9,3.0,8.9,98.0,196.2
128,408,False,1,0,75.0,158.8,91.0,264.8,7.0,7.6,77.0,270.0
104,415,False,2,0,113.0,182.9,85.0,239.6,4.0,5.5,104.0,229.8
103,415,False,0,0,112.0,198.5,90.0,42.5,5.0,12.4,124.0,179.2
124,415,False,0,0,72.0,178.4,134.0,233.6,2.0,12.0,91.0,179.4
87,510,False,1,0,91.0,110.9,115.0,158.5,5.0,6.2,131.0,207.5
109,415,True,1,27,85.0,166.9,92.0,221.2,4.0,12.3,97.0,197.3
167,415,False,2,0,91.0,244.8,105.0,60.8,3.0,10.7,110.0,176.7
97,510,True,4,0,96.0,120.8,101.0,169.8,3.0,11.9,63.0,194.1
106,415,False,2,0,118.0,165.3,101.0,210.0,3.0,8.5,93.0,187.2
125,415,False,2,0,113.0,126.7,131.0,155.5,7.0,14.4,112.0,206.2
108,408,False,0,35,106.0,215.9,107.0,200.6,7.0,15.5,107.0,195.4
125,415,False,1,0,132.0,140.1,126.0,209.6,2.0,8.0,77.0,264.1
89,415,False,1,32,113.0,209.9,104.0,249.8,7.0,8.7,92.0,224.2
72,510,False,0,29,114.0,139.8,91.0,138.2,6.0,5.5,88.0,221.0
23,510,True,2,0,107.0,321.6,115.0,251.6,3.0,11.3,158.0,141.1
149,510,False,7,0,61.0,166.6,107.0,218.8,6.0,8.2,131.0,208.3
73,415,False,0,0,90.0,214.2,78.0,196.8,8.0,5.9,112.0,157.9
61,415,True,1,0,123.0,260.0,127.0,210.5,3.0,9.0,70.0,234.7
161,415,True,4,0,113.0,191.9,87.0,70.9,4.0,13.4,107.0,204.8
73,408,False,0,0,95.0,213.0,104.0,188.8,3.0,13.5,89.0,136.2
118,415,False,1,24,83.0,118.1,72.0,109.6,2.0,16.9,73.0,245.5
23,408,False,6,0,89.0,190.2,108.0,166.4,4.0,15.0,73.0,219.8
127,415,False,0,25,95.0,82.2,109.0,163.3,6.0,5.1,104.0,264.9
42,415,False,0,32,80.0,163.8,123.0,177.8,5.0,8.1,106.0,190.4
118,415,True,5,0,145.0,267.8,121.0,316.4,11.0,14.4,91.0,208.6
45,510,False,2,0,91.0,159.8,86.0,120.4,3.0,10.6,93.0,163.0
50,408,False,1,24,129.0,214.3,55.0,289.8,4.0,10.6,130.0,312.5
179,510,True,0,0,123.0,287.3,114.0,288.0,4.0,10.5,112.0,266.0
152,408,False,2,0,122.0,101.2,87.0,141.6,3.0,7.5,124.0,198.5
105,415,False,2,0,74.0,102.8,125.0,281.7,5.0,13.2,113.0,228.1
72,415,False,0,0,97.0,109.1,96.0,115.7,6.0,8.3,84.0,295.8
52,408,False,1,0,67.0,215.9,108.0,217.0,2.0,5.2,130.0,342.8
125,415,False,1,0,110.0,203.4,97.0,128.7,4.0,11.0,113.0,190.5
143,510,False,1,0,113.0,110.1,59.0,169.0,2.0,9.2,94.0,166.7
65,415,False,1,0,51.0,111.0,84.0,219.8,14.0,4.4,89.0,202.0
80,415,False,1,0,121.0,239.9,51.0,142.3,5.0,9.3,106.0,364.3
1,415,False,1,0,107.0,144.8,66.0,112.5,3.0,13.8,79.0,218.7
60,408,False,1,0,134.0,135.4,85.0,205.9,4.0,7.9,103.0,204.0
43,415,False,1,0,134.0,84.2,103.0,80.8,2.0,10.8,79.0,196.1
143,415,False,0,0,127.0,209.1,80.0,106.1,6.0,14.0,90.0,179.6
81,415,False,0,24,117.0,130.1,61.0,196.0,5.0,11.4,123.0,139.3
205,510,False,2,24,139.0,175.8,98.0,155.0,5.0,7.8,64.0,180.7
24,415,False,1,0,104.0,241.9,112.0,145.2,5.0,6.6,105.0,214.5
74,415,False,0,0,106.0,136.7,105.0,228.6,4.0,9.8,114.0,265.3
77,510,False,1,0,68.0,67.7,86.0,195.7,2.0,12.0,137.0,236.5
74,415,False,1,0,87.0,200.4,105.0,309.2,2.0,10.0,118.0,152.1
74,510,True,1,0,103.0,125.8,96.0,207.7,4.0,14.1,143.0,207.4
200,408,False,1,0,87.0,128.2,105.0,133.2,2.0,11.2,123.0,177.6
86,408,False,4,0,88.0,226.3,107.0,223.0,3.0,13.0,92.0,255.6
91,510,False,0,37,107.0,162.3,115.0,233.9,4.0,9.2,94.0,277.4
76,415,False,2,0,121.0,224.4,97.0,147.9,2.0,6.7,74.0,183.8
130,415,False,1,0,127.0,120.5,52.0,189.7,2.0,14.3,107.0,270.1
56,408,False,2,0,90.0,91.1,115.0,179.3,8.0,11.9,89.0,300.7
117,415,False,0,0,137.0,168.8,107.0,241.4,4.0,15.5,106.0,204.8
63,510,False,2,0,81.0,153.5,115.0,287.3,5.0,6.5,85.0,230.2
126,415,False,0,0,88.0,226.2,114.0,140.3,2.0,6.4,110.0,208.9
132,510,False,1,0,107.0,191.9,127.0,206.9,2.0,12.6,88.0,272.0
81,415,True,4,28,147.0,167.9,105.0,190.7,6.0,9.2,103.0,193.0
122,415,False,2,0,88.0,180.0,77.0,145.0,6.0,11.5,120.0,233.7
46,408,True,2,0,67.0,257.4,91.0,261.1,5.0,13.4,107.0,204.4
150,415,False,1,28,75.0,174.4,80.0,169.9,4.0,11.0,130.0,201.6
99,408,False,1,0,83.0,159.7,121.0,155.4,3.0,8.4,114.0,255.7
87,408,False,1,0,124.0,237.2,87.0,222.6,3.0,11.0,81.0,173.3
108,415,False,1,0,129.0,103.0,103.0,242.3,3.0,7.9,89.0,170.2
101,415,False,4,0,89.0,153.8,89.0,234.0,2.0,11.6,77.0,196.3
53,415,False,3,0,86.0,205.1,95.0,160.5,2.0,10.7,142.0,149.5
132,415,False,2,39,93.0,175.7,94.0,187.2,3.0,8.6,118.0,225.5
158,510,False,2,0,123.0,155.9,112.0,224.2,8.0,8.6,116.0,221.0
114,415,False,0,34,109.0,154.4,142.0,221.4,5.0,10.3,103.0,208.5
77,415,False,2,23,73.0,209.7,63.0,183.6,3.0,7.1,111.0,205.5
144,415,False,0,0,69.0,150.0,73.0,285.9,15.0,9.4,121.0,190.6
91,510,False,3,23,97.0,232.4,88.0,186.0,3.0,12.3,128.0,190.5
58,408,False,2,0,100.0,165.4,87.0,115.7,5.0,12.8,118.0,193.8
5,415,False,3,0,106.0,199.2,12.0,187.3,3.0,13.3,85.0,214.0
97,408,False,0,0,81.0,217.6,51.0,320.5,3.0,4.2,110.0,150.7
107,415,False,3,0,95.0,212.1,88.0,150.1,2.0,7.7,111.0,219.8
142,415,False,1,30,75.0,154.0,97.0,165.8,5.0,10.8,83.0,270.0
9,408,False,1,31,130.0,193.8,98.0,202.6,2.0,13.3,102.0,191.2
73,415,False,0,0,130.0,175.4,105.0,248.1,4.0,12.2,85.0,122.4
48,510,True,2,22,63.0,152.0,131.0,258.8,5.0,15.7,109.0,263.2
43,408,False,0,0,147.0,230.2,121.0,186.7,3.0,9.2,100.0,128.4
122,408,True,1,33,103.0,174.9,105.0,248.2,3.0,13.5,116.0,164.6
93,415,False,0,0,68.0,190.2,64.0,262.2,4.0,8.8,92.0,130.0
85,415,False,1,0,122.0,176.4,123.0,224.9,1.0,11.5,50.0,219.6
59,415,False,3,0,95.0,160.9,65.0,251.2,5.0,5.0,97.0,273.4
87,415,False,1,0,90.0,228.7,99.0,163.0,3.0,11.8,90.0,154.1
137,408,False,0,0,90.0,144.0,100.0,181.6,2.0,12.3,93.0,128.1
21,510,False,6,31,90.0,135.9,84.0,271.0,7.0,9.5,89.0,179.1
129,510,True,0,0,118.0,334.3,104.0,192.1,6.0,10.4,83.0,191.0
104,415,False,0,0,77.0,130.5,117.0,131.2,6.0,13.0,63.0,264.7
93,408,True,4,21,105.0,134.2,128.0,162.5,2.0,11.8,90.0,186.6
63,415,True,4,0,102.0,278.0,114.0,266.4,4.0,13.1,118.0,224.1
161,415,False,0,0,70.0,105.4,122.0,214.8,5.0,7.8,126.0,223.6
50,510,False,3,0,94.0,188.9,104.0,203.9,8.0,11.6,124.0,151.8
103,408,False,1,24,85.0,111.8,102.0,239.6,4.0,6.9,81.0,268.3
84,415,False,1,33,106.0,159.1,101.0,149.8,18.0,13.0,108.0,213.4
92,510,False,1,0,105.0,212.4,118.0,224.6,4.0,9.0,105.0,221.3
77,415,False,1,0,112.0,142.3,111.0,306.3,1.0,9.9,82.0,196.5
64,415,True,1,0,55.0,346.8,79.0,249.5,9.0,13.3,102.0,275.4
159,415,False,1,15,102.0,113.9,146.0,145.3,9.0,11.8,137.0,195.2
110,415,True,1,27,103.0,267.9,74.0,263.3,2.0,8.3,106.0,178.1
138,510,False,3,0,117.0,171.4,128.0,115.2,4.0,17.0,115.0,224.5
178,408,False,1,0,150.0,275.4,62.0,187.5,3.0,13.6,126.0,147.1
38,415,False,0,31,118.0,197.2,70.0,249.9,2.0,3.9,104.0,298.9
50,415,False,2,35,97.0,192.6,101.0,135.2,2.0,7.9,101.0,216.2
45,510,False,1,26,104.0,91.7,119.0,150.6,5.0,7.7,103.0,63.3
70,510,False,0,0,99.0,126.3,106.0,141.6,2.0,9.6,96.0,255.9
147,510,False,3,33,107.0,251.5,110.0,234.1,6.0,10.4,87.0,213.4
94,510,False,1,0,108.0,190.6,95.0,152.3,5.0,7.5,97.0,144.7
179,510,False,0,0,101.0,116.1,99.0,201.8,5.0,11.6,103.0,181.9
116,415,False,2,0,91.0,217.3,95.0,216.1,3.0,11.3,76.0,148.1
59,510,False,0,0,80.0,179.4,99.0,232.5,3.0,14.7,105.0,175.8
165,415,False,0,0,109.0,207.7,94.0,164.8,3.0,7.9,91.0,54.5
133,408,True,2,0,138.0,277.3,117.0,228.4,4.0,12.8,103.0,117.3
140,415,False,1,0,84.0,125.3,121.0,167.6,4.0,8.4,94.0,260.6
93,408,False,2,32,91.0,138.1,72.0,167.3,3.0,6.8,115.0,238.9
52,510,False,0,38,88.0,169.3,97.0,225.9,3.0,8.2,86.0,172.0
64,415,False,1,27,101.0,201.3,89.0,143.8,3.0,12.3,127.0,150.2
12,510,False,2,0,117.0,216.7,126.0,116.5,4.0,9.8,110.0,220.0
48,415,False,2,0,92.0,190.4,85.0,317.5,4.0,8.3,113.0,133.4
181,408,False,1,0,91.0,143.3,58.0,195.5,7.0,6.0,95.0,223.3
168,415,False,2,42,57.0,97.4,98.0,203.6,2.0,11.4,124.0,173.9
155,415,False,3,0,111.0,181.4,92.0,167.7,3.0,11.3,122.0,168.5
105,510,False,0,0,83.0,246.4,101.0,256.2,4.0,3.8,151.0,169.0
11,415,False,2,0,130.0,143.4,50.0,289.4,6.0,9.7,100.0,194.0
182,415,False,2,0,111.0,104.9,120.0,198.5,5.0,8.0,91.0,258.2
104,415,False,1,0,93.0,156.2,54.0,193.0,5.0,13.1,94.0,222.7
102,415,False,0,0,125.0,114.8,126.0,81.9,4.0,12.0,101.0,304.3
122,415,False,0,0,96.0,232.5,120.0,205.5,2.0,11.9,91.0,213.7
41,415,False,1,0,117.0,143.6,108.0,152.4,3.0,8.6,110.0,194.4
132,415,False,2,0,132.0,176.7,80.0,244.1,4.0,9.1,120.0,176.3
76,415,True,1,0,148.0,263.4,69.0,230.3,5.0,11.4,101.0,170.6
13,415,False,1,0,74.0,146.4,92.0,148.5,3.0,11.3,96.0,216.7
115,415,False,2,33,72.0,145.0,157.0,194.5,3.0,14.2,138.0,242.3
67,408,False,1,0,91.0,167.8,69.0,167.7,12.0,8.4,71.0,110.3
154,510,False,0,0,99.0,166.9,97.0,154.9,5.0,7.2,89.0,189.4
100,510,False,2,0,87.0,142.5,88.0,195.7,8.0,7.8,117.0,122.1
146,510,False,1,0,65.0,133.0,93.0,262.8,3.0,11.2,128.0,214.3
148,415,False,1,11,129.0,252.9,88.0,284.3,1.0,12.3,99.0,262.8
67,415,False,2,28,94.0,95.0,73.0,291.2,2.0,10.0,114.0,159.6
161,510,True,1,0,106.0,194.2,105.0,249.4,1.0,12.9,129.0,254.9
70,415,False,1,0,114.0,222.8,113.0,215.9,0.0,0.0,122.0,223.5
116,510,False,0,0,82.0,201.8,95.0,231.5,5.0,16.5,130.0,226.1
99,415,True,2,42,125.0,216.0,104.0,232.3,4.0,9.3,100.0,215.5
87,415,False,1,0,108.0,146.3,102.0,171.8,9.0,5.3,66.0,167.5
87,510,False,1,0,85.0,234.8,91.0,140.9,5.0,9.5,93.0,204.3
70,408,False,2,0,111.0,198.6,115.0,213.9,6.0,10.6,105.0,171.2
131,408,False,2,0,80.0,94.4,101.0,215.1,9.0,13.1,108.0,179.7
119,510,False,2,0,74.0,190.4,113.0,215.6,1.0,10.0,111.0,161.2
119,408,False,3,32,77.0,142.6,126.0,208.2,2.0,12.0,102.0,171.0
87,510,False,0,0,80.0,134.2,71.0,165.0,5.0,10.7,102.0,173.1
112,415,True,5,0,92.0,111.9,143.0,114.0,3.0,14.1,79.0,146.8
75,415,False,2,0,89.0,122.8,104.0,211.3,2.0,10.7,91.0,261.4
150,510,False,4,0,77.0,189.3,105.0,220.9,5.0,9.2,117.0,238.7
161,510,False,0,38,112.0,240.4,102.0,201.8,6.0,16.1,112.0,206.1
91,510,False,0,24,112.0,93.5,128.0,183.4,3.0,9.9,133.0,240.7
124,415,False,3,0,104.0,158.6,77.0,211.2,8.0,10.2,104.0,179.3
94,510,False,4,0,109.0,243.2,88.0,147.0,4.0,7.2,99.0,94.9
217,408,False,4,0,115.0,176.4,128.0,158.8,3.0,9.3,107.0,306.6
158,510,False,0,0,129.0,220.9,108.0,242.2,5.0,6.4,75.0,233.3
102,415,False,0,0,87.0,144.4,128.0,266.5,7.0,7.1,59.0,217.6
85,510,False,0,0,107.0,212.3,103.0,228.4,3.0,7.7,116.0,163.3
79,510,False,1,0,72.0,147.0,102.0,165.7,9.0,8.4,107.0,243.2
139,510,False,2,25,112.0,96.2,70.0,178.9,10.0,12.9,84.0,182.1
103,415,False,0,0,118.0,263.4,69.0,179.1,2.0,10.3,112.0,214.7
98,415,False,1,0,67.0,12.5,90.0,256.6,9.0,7.7,88.0,169.4
78,408,False,2,0,116.0,162.3,86.0,192.4,3.0,10.1,100.0,240.6
50,408,False,1,0,107.0,183.6,118.0,58.6,3.0,8.7,99.0,202.6
161,415,False,1,0,109.0,178.1,86.0,146.5,2.0,8.5,78.0,137.6
67,408,False,0,0,101.0,201.4,122.0,97.6,3.0,7.0,119.0,202.5
86,415,False,1,38,158.0,123.0,119.0,133.9,4.0,13.3,103.0,138.2
92,510,False,0,0,125.0,208.0,76.0,198.9,6.0,8.6,97.0,76.4
174,415,False,1,0,72.0,239.2,124.0,188.5,3.0,8.8,116.0,105.6
124,510,False,1,0,97.0,193.0,99.0,89.8,3.0,15.3,104.0,172.8
132,415,False,1,31,101.0,174.5,105.0,245.6,9.0,10.3,76.0,172.8
190,415,False,1,26,71.0,116.7,88.0,145.9,3.0,9.9,103.0,175.1
101,510,False,1,0,127.0,93.8,104.0,150.0,2.0,10.7,116.0,241.1
185,415,False,2,30,114.0,154.1,106.0,118.7,3.0,12.9,105.0,258.4
68,415,False,0,29,82.0,239.5,105.0,203.8,6.0,9.9,70.0,167.8
117,510,False,0,25,140.0,216.0,69.0,224.1,4.0,11.8,112.0,267.9
118,408,False,1,0,97.0,187.4,89.0,177.8,6.0,12.2,97.0,233.4
124,415,False,0,0,119.0,167.4,143.0,233.2,5.0,10.3,115.0,109.6
22,510,False,1,0,108.0,160.4,88.0,218.1,4.0,12.5,115.0,192.9
75,415,False,1,0,92.0,143.2,142.0,209.1,9.0,11.9,96.0,173.0
134,408,False,1,0,122.0,205.3,155.0,240.5,9.0,5.0,107.0,179.1
164,408,False,1,25,88.0,219.1,99.0,151.5,6.0,14.3,60.0,50.1
44,510,False,1,0,77.0,143.2,114.0,169.8,4.0,7.6,77.0,215.8
177,415,False,2,0,106.0,232.8,97.0,175.2,7.0,12.5,77.0,212.2
110,408,False,0,0,81.0,162.0,89.0,247.5,8.0,8.9,99.0,155.5
53,415,False,1,27,119.0,25.9,96.0,206.5,7.0,6.5,64.0,228.1
108,415,True,4,0,123.0,154.2,86.0,112.3,4.0,15.4,75.0,246.4
80,408,True,0,0,113.0,322.3,95.0,222.0,8.0,6.7,123.0,162.8
158,408,False,1,0,112.0,209.9,82.0,221.3,3.0,8.2,93.0,210.0
114,415,False,0,0,88.0,191.5,78.0,175.2,0.0,0.0,118.0,220.3
64,408,False,1,19,150.0,291.1,123.0,226.7,2.0,7.5,67.0,219.1
88,415,False,3,0,115.0,215.6,85.0,216.2,1.0,11.8,65.0,171.3
82,510,False,3,0,101.0,208.8,87.0,213.7,6.0,12.4,86.0,175.1
111,415,False,3,0,97.0,255.9,129.0,204.1,5.0,12.3,84.0,171.3
60,408,False,2,0,97.0,252.7,121.0,221.1,4.0,12.4,100.0,109.9
113,408,False,3,0,72.0,132.1,107.0,247.5,6.0,6.9,123.0,246.2
109,408,False,1,0,115.0,217.0,142.0,207.0,4.0,8.2,106.0,268.0
105,510,False,0,42,79.0,101.9,97.0,223.1,2.0,12.9,77.0,241.6
85,510,False,2,0,100.0,211.5,88.0,184.6,4.0,13.3,131.0,164.3
131,510,False,0,0,86.0,153.4,81.0,198.5,3.0,10.4,83.0,164.4
59,510,False,2,0,95.0,166.3,87.0,239.3,3.0,10.0,108.0,123.2
148,408,False,1,0,87.0,185.2,96.0,170.4,13.0,9.5,104.0,165.1
210,408,False,2,0,121.0,104.6,71.0,149.5,8.0,6.5,67.0,255.1
115,415,False,0,0,105.0,245.2,109.0,159.0,8.0,7.2,74.0,229.9
106,510,False,1,0,120.0,274.4,82.0,198.6,3.0,6.0,62.0,160.8
93,415,False,1,0,78.0,98.4,129.0,249.6,4.0,14.2,114.0,248.2
57,415,False,1,29,121.0,279.9,109.0,223.1,2.0,13.0,94.0,251.7
98,510,False,1,0,127.0,187.2,88.0,195.6,4.0,5.1,129.0,181.8
157,415,False,3,0,95.0,276.2,119.0,165.8,4.0,2.2,79.0,151.6
116,415,False,1,35,104.0,200.4,89.0,272.8,4.0,8.3,100.0,214.5
30,510,False,2,0,96.0,162.3,122.0,244.0,4.0,9.1,89.0,180.1
111,510,True,4,0,128.0,176.9,56.0,102.8,2.0,10.5,84.0,213.7
52,415,False,0,0,78.0,165.5,89.0,205.5,6.0,12.2,124.0,213.6
72,415,False,4,0,93.0,217.8,113.0,189.7,5.0,10.4,91.0,182.6
135,510,True,2,28,100.0,201.4,117.0,246.5,4.0,12.9,131.0,154.8
86,510,False,3,0,115.0,190.5,130.0,179.6,5.0,10.1,89.0,258.5
98,415,False,3,29,97.0,179.9,89.0,189.2,7.0,12.8,76.0,164.3
151,510,False,3,0,104.0,235.9,91.0,80.6,2.0,5.8,116.0,212.8
118,415,False,0,0,112.0,140.4,60.0,187.1,1.0,7.9,155.0,207.9
117,415,False,2,0,115.0,144.6,66.0,258.8,9.0,7.4,113.0,253.2
55,510,False,0,0,100.0,189.0,99.0,118.5,6.0,17.1,87.0,248.1
82,408,False,0,0,93.0,101.0,104.0,155.6,2.0,13.3,93.0,304.4
152,415,False,1,0,98.0,206.3,82.0,292.8,4.0,10.6,121.0,43.7
108,408,False,1,15,85.0,165.1,93.0,267.0,4.0,10.9,114.0,250.7
98,408,True,1,0,129.0,165.0,113.0,202.6,7.0,12.5,94.0,172.3
130,415,False,3,0,95.0,155.9,97.0,256.1,3.0,11.7,103.0,262.9
136,408,False,1,0,122.0,199.2,114.0,214.7,7.0,11.8,105.0,150.9
47,415,False,3,0,116.0,155.3,85.0,188.2,4.0,12.3,73.0,247.0
189,415,False,3,0,106.0,208.3,123.0,236.7,5.0,11.3,120.0,179.1
107,415,False,1,0,79.0,157.1,124.0,162.6,6.0,12.1,138.0,150.0
91,415,True,5,0,165.0,154.4,121.0,168.3,4.0,11.7,81.0,239.9
159,415,True,1,0,105.0,189.1,147.0,246.1,5.0,10.4,106.0,242.0
11,408,False,2,24,98.0,131.5,111.0,230.2,3.0,10.0,87.0,283.7
167,415,False,1,0,85.0,166.4,135.0,243.2,5.0,9.9,95.0,229.2
111,408,False,2,0,75.0,142.3,106.0,122.8,9.0,12.8,94.0,229.5
99,408,False,2,19,103.0,87.7,86.0,223.0,4.0,7.3,112.0,182.3
159,415,False,0,19,78.0,184.1,71.0,194.5,3.0,16.9,101.0,225.6
114,415,False,2,31,104.0,174.5,92.0,224.2,10.0,12.3,91.0,116.3
71,415,False,2,0,103.0,103.3,79.0,138.5,2.0,9.0,98.0,164.8
122,415,False,1,0,62.0,35.1,89.0,180.8,2.0,12.7,58.0,251.6
100,408,False,1,25,94.0,246.6,112.0,141.4,5.0,13.0,109.0,189.8
83,415,False,1,37,109.0,78.5,101.0,210.5,4.0,11.8,102.0,179.7
64,408,True,5,0,73.0,148.1,101.0,164.9,2.0,12.3,125.0,216.0
105,408,False,1,0,84.0,206.2,138.0,256.4,3.0,9.0,91.0,117.1
144,415,False,2,33,87.0,251.6,118.0,197.6,3.0,12.2,97.0,209.2
106,415,True,1,26,111.0,270.3,90.0,215.2,7.0,14.4,133.0,254.0
19,510,False,1,34,97.0,156.6,97.0,224.2,1.0,11.3,135.0,260.9
46,408,False,1,0,81.0,139.4,113.0,223.7,6.0,13.6,77.0,173.1
127,510,False,2,0,108.0,220.2,124.0,188.4,3.0,11.7,113.0,172.7
9,415,False,1,39,108.0,214.1,115.0,169.2,3.0,10.1,117.0,189.7
157,415,False,1,0,74.0,196.0,96.0,213.4,6.0,7.9,81.0,196.8
105,415,True,6,0,71.0,106.4,83.0,240.1,4.0,5.3,114.0,147.7
105,415,False,0,29,113.0,179.4,100.0,275.4,5.0,10.0,105.0,246.1
155,408,False,2,0,30.0,216.7,125.0,144.3,1.0,10.8,106.0,135.3
31,415,False,0,0,129.0,177.3,105.0,152.8,2.0,5.1,92.0,162.9
161,415,False,1,0,117.0,151.6,87.0,219.4,5.0,4.0,68.0,224.7
95,408,False,0,32,123.0,262.2,82.0,165.2,5.0,10.6,57.0,194.3
122,415,False,3,0,110.0,173.6,84.0,91.7,7.0,9.7,103.0,211.7
37,415,False,2,0,76.0,106.6,89.0,147.4,8.0,9.6,113.0,235.8
132,415,True,5,0,106.0,193.3,94.0,128.3,4.0,11.6,119.0,162.1
119,408,False,0,24,94.0,217.2,52.0,138.7,4.0,11.3,85.0,139.3
